,iteration,fitness,im_size
0,0,5831.246,180
1,1,4843.602,180
2,4,3782.1887,180
3,9,3681.2625,180
4,49,3770.652,180
5,99,3869.3262,180
6,149,3959.9468,180
7,199,4029.1006,180
8,249,4113.2495,180
9,299,4184.901,180
10,349,4248.0264,180
11,399,4306.962,180
12,449,4344.1675,180
13,499,4490.248,180
14,549,4603.8057,180
15,599,4674.189,180
16,649,4745.701,180
17,699,4810.019,180
18,749,4909.7397,180
19,799,4993.087,180
20,849,5071.0044,180
21,899,5177.487,180
22,949,5284.3086,180
23,999,5343.76,180
24,1049,5449.7637,180
25,1099,5542.982,180
26,1149,5632.3716,180
27,1199,5658.0947,180
28,1249,5823.601,180
29,1299,5914.5703,180
30,1349,5974.1807,180
31,1399,6052.0264,180
32,1449,6144.9087,180
33,1499,6269.621,180
34,1549,6381.834,180
35,1599,6464.7065,180
36,1649,6524.3555,180
37,1699,6524.3555,180
38,1749,6703.5083,180
39,1799,6762.2075,180
40,1849,6920.024,180
41,1899,7031.666,180
42,1949,7121.9287,180
43,1999,7239.4272,180
44,2049,7317.674,180
45,2099,7425.304,180
46,2149,7496.824,180
47,2199,7670.2427,180
48,2249,7711.8833,180
49,2299,7860.4473,180
50,2349,7963.029,180
51,2399,8017.508,180
52,2449,8142.125,180
53,2499,8219.4375,180
54,2549,8319.574,180
55,2599,8424.089,180
56,2649,8447.787,180
57,2699,8575.392,180
58,2749,8652.985,180
59,2799,8747.665,180
60,2849,8852.994,180
61,2899,8916.852,180
62,2949,9025.359,180
63,2999,9142.157,180
64,3049,9219.946,180
65,3099,9279.324,180
66,3149,9383.1,180
67,3199,9440.544,180
68,3249,9531.994,180
69,3299,9580.356,180
70,3349,9716.742,180
71,3399,9793.76,180
72,3449,9873.465,180
73,3499,9968.341,180
74,3549,10020.941,180
75,3599,10087.518,180
76,3649,10124.512,180
77,3699,10227.996,180
78,3749,10307.682,180
79,3799,10375.194,180
80,3849,10469.664,180
81,3899,10320.277,180
82,3949,10298.026,180
83,3999,10278.045,180
84,4049,10255.77,180
85,4099,10233.546,180
86,4149,10211.115,180
87,4199,10189.33,180
88,4249,10166.361,180
89,4299,10144.543,180
90,4349,10122.374,180
91,4399,10100.607,180
92,4449,10078.634,180
93,4499,10055.926,180
94,4549,10034.765,180
95,4599,10013.754,180
96,4649,9992.474,180
97,4699,9969.031,180
98,4749,9946.469,180
99,4799,9924.593,180
100,4849,9902.521,180
101,4899,9880.217,180
102,4949,9858.626,180
103,4999,9837.616,180
104,5049,9815.467,180
105,5099,9793.556,180
106,5149,9770.751,180
107,5199,9749.999,180
108,5249,9729.901,180
109,5299,9709.81,180
110,5349,9688.307,180
111,5399,9666.355,180
112,5449,9643.818,180
113,5499,9621.597,180
114,5549,9600.407,180
115,5599,9577.552,180
116,5649,9556.751,180
117,5699,9536.326,180
118,5749,9514.418,180
119,5799,9493.456,180
120,5849,9472.889,180
121,5899,9450.668,180
122,5949,9429.412,180
123,5999,9408.938,180
124,6049,9387.946,180
125,6099,9366.662,180
126,6149,9343.981,180
127,6199,9323.379,180
128,6249,9301.363,180
129,6299,9280.95,180
130,6349,9262.618,180
131,6399,9241.296,180
132,6449,9220.108,180
133,6499,9199.836,180
134,6549,9177.624,180
135,6599,9159.163,180
136,6649,9139.183,180
137,6699,9118.256,180
138,6749,9098.372,180
139,6799,9077.18,180
140,6849,9058.281,180
141,6899,9036.367,180
142,6949,9015.678,180
143,6999,8994.799,180
144,7049,8974.034,180
145,7099,8953.956,180
146,7149,8931.328,180
147,7199,8911.979,180
148,7249,8892.632,180
149,7299,8872.292,180
150,7349,8853.646,180
151,7399,8833.983,180
152,7449,8814.534,180
153,7499,8796.4375,180
154,7549,8776.672,180
155,7599,8756.572,180
156,7649,8734.532,180
157,7699,8713.818,180
158,7749,8694.386,180
159,7799,8674.091,180
160,7849,8653.844,180
161,7899,8633.803,180
162,7949,8614.269,180
163,7999,8594.172,180
164,8049,8573.907,180
165,8099,8553.662,180
166,8149,8534.948,180
167,8199,8514.986,180
168,8249,8494.395,180
169,8299,8473.558,180
170,8349,8455.356,180
171,8399,8435.942,180
172,8449,8416.513,180
173,8499,8396.905,180
174,8549,8378.222,180
175,8599,8358.389,180
176,8649,8339.968,180
177,8699,8321.514,180
178,8749,8301.157,180
179,8799,8282.21,180
180,8849,8261.731,180
181,8899,8242.988,180
182,8949,8222.616,180
183,8999,8203.916,180
184,9049,8185.052,180
185,9099,8165.5015,180
186,9149,8146.4243,180
187,9199,8127.6753,180
188,9249,8108.508,180
189,9299,8089.936,180
190,9349,8071.9307,180
191,9399,8053.986,180
192,9449,8035.3525,180
193,9499,8016.13,180
194,9549,7997.1577,180
195,9599,7979.12,180
196,9649,7960.5625,180
197,9699,7941.475,180
198,9749,7923.9995,180
199,9799,7905.037,180
200,9849,7885.175,180
201,9899,7867.4497,180
202,9949,7850.01,180
203,9999,7830.796,180
204,10049,7811.183,180
205,10099,7793.056,180
206,10149,7773.262,180
207,10199,7754.2124,180
208,10249,7736.9463,180
209,10299,7719.566,180
210,10349,7701.8438,180
211,10399,7683.034,180
212,10449,7665.2427,180
213,10499,7647.874,180
214,10549,7628.765,180
215,10599,7610.9834,180
216,10649,7592.886,180
217,10699,7573.4546,180
218,10749,7556.025,180
219,10799,7538.1733,180
220,10849,7519.5864,180
221,10899,7500.4707,180
222,10949,7481.969,180
223,10999,7463.6616,180
224,11049,7445.663,180
225,11099,7427.592,180
226,11149,7408.899,180
227,11199,7389.764,180
228,11249,7370.772,180
229,11299,7351.94,180
230,11349,7336.102,180
231,11399,7318.2676,180
232,11449,7301.3228,180
233,11499,7282.7266,180
234,11549,7264.85,180
235,11599,7247.392,180
236,11649,7228.9497,180
237,11699,7211.4175,180
238,11749,7193.305,180
239,11799,7175.0024,180
240,11849,7156.4155,180
241,11899,7139.265,180
242,11949,7122.245,180
243,11999,7105.2637,180
244,12049,7087.337,180
245,12099,7070.0215,180
246,12149,7052.439,180
247,12199,7034.5503,180
248,12249,7016.2915,180
249,12299,6999.012,180
250,12349,6982.826,180
251,12399,6966.2065,180
252,12449,6948.8525,180
253,12499,6931.817,180
254,12549,6913.5547,180
255,12599,6895.7065,180
256,12649,6878.968,180
257,12699,6861.74,180
258,12749,6846.008,180
259,12799,6829.7207,180
260,12849,6812.91,180
261,12899,6796.27,180
262,12949,6779.9307,180
263,12999,6763.361,180
264,13049,6745.182,180
265,13099,6729.119,180
266,13149,6712.266,180
267,13199,6696.0776,180
268,13249,6680.034,180
269,13299,6663.9824,180
270,13349,6647.1597,180
271,13399,6630.521,180
272,13449,6613.1377,180
273,13499,6597.096,180
274,13549,6579.3403,180
275,13599,6563.615,180
276,13649,6548.384,180
277,13699,6531.915,180
278,13749,6515.898,180
279,13799,6500.4443,180
280,13849,6484.3247,180
281,13899,6467.985,180
282,13949,6451.4224,180
283,13999,6434.9634,180
284,14049,6418.946,180
285,14099,6403.8203,180
286,14149,6388.135,180
287,14199,6372.4775,180
288,14249,6357.822,180
289,14299,6342.421,180
290,14349,6325.761,180
291,14399,6310.502,180
292,14449,6295.3315,180
293,14499,6279.757,180
294,14549,6264.8857,180
295,14599,6248.327,180
296,14649,6233.28,180
297,14699,6218.8306,180
298,14749,6203.138,180
299,14799,6186.903,180
300,14849,6171.2456,180
301,14899,6156.139,180
302,14949,6140.385,180
303,14999,6124.847,180
304,15049,6111.259,180
305,15099,6095.8164,180
306,15149,6080.5723,180
307,15199,6065.271,180
308,15249,6049.986,180
309,15299,6034.6343,180
310,15349,6018.9517,180
311,15399,6005.072,180
312,15449,5991.5093,180
313,15499,5976.138,180
314,15549,5961.173,180
315,15599,5945.4946,180
316,15649,5930.124,180
317,15699,5914.951,180
318,15749,5899.488,180
319,15799,5884.178,180
320,15849,5869.925,180
321,15899,5853.4307,180
322,15949,5837.7744,180
323,15999,5823.498,180
324,16049,5808.4663,180
325,16099,5792.7354,180
326,16149,5778.8477,180
327,16199,5763.579,180
328,16249,5749.546,180
329,16299,5734.8525,180
330,16349,5720.4946,180
331,16399,5705.697,180
332,16449,5690.7886,180
333,16499,5675.327,180
334,16549,5661.033,180
335,16599,5646.3203,180
336,16649,5631.628,180
337,16699,5617.458,180
338,16749,5602.5244,180
339,16799,5588.4126,180
340,16849,5573.1943,180
341,16899,5558.507,180
342,16949,5543.3022,180
343,16999,5527.761,180
344,17049,5513.6733,180
345,17099,5499.9316,180
346,17149,5485.6094,180
347,17199,5471.583,180
348,17249,5458.985,180
349,17299,5443.957,180
350,17349,5431.3677,180
351,17399,5417.5317,180
352,17449,5404.596,180
353,17499,5391.174,180
354,17549,5378.6074,180
355,17599,5365.5234,180
356,17649,5350.991,180
357,17699,5337.068,180
358,17749,5322.991,180
359,17799,5309.4565,180
360,17849,5295.6943,180
361,17899,5282.2847,180
362,17949,5268.436,180
363,17999,5254.23,180
364,18049,5240.2773,180
365,18099,5226.438,180
366,18149,5212.6626,180
367,18199,5198.453,180
368,18249,5185.674,180
369,18299,5172.07,180
370,18349,5157.817,180
371,18399,5144.608,180
372,18449,5131.0625,180
373,18499,5117.6465,180
374,18549,5105.4053,180
375,18599,5092.2197,180
376,18649,5079.255,180
377,18699,5065.6265,180
378,18749,5052.45,180
379,18799,5036.6934,180
380,18849,5024.1367,180
381,18899,5012.21,180
382,18949,4999.117,180
383,18999,4986.1084,180
384,19049,4973.04,180
385,19099,4960.3857,180
386,19149,4947.082,180
387,19199,4935.2354,180
388,19249,4923.0396,180
389,19299,4910.721,180
390,19349,4897.8833,180
391,19399,4883.666,180
392,19449,4869.5537,180
393,19499,4857.4595,180
394,19549,4844.327,180
395,19599,4831.673,180
396,19649,4818.412,180
397,19699,4806.554,180
398,19749,4793.287,180
399,19799,4781.3467,180
400,19849,4768.5522,180
401,19899,4754.6104,180
402,19949,4742.076,180
403,19999,4729.6826,180
404,20049,4717.815,180
405,20099,4706.619,180
406,20149,4693.952,180
407,20199,4681.9053,180
408,20249,4670.7876,180
409,20299,4658.1953,180
410,20349,4645.4883,180
411,20399,4633.034,180
412,20449,4620.6016,180
413,20499,4608.1665,180
414,20549,4595.004,180
415,20599,4582.609,180
416,20649,4570.412,180
417,20699,4559.3135,180
418,20749,4546.741,180
419,20799,4534.6743,180
420,20849,4523.0483,180
421,20899,4511.2026,180
422,20949,4499.327,180
423,20999,4487.1484,180
424,21049,4475.205,180
425,21099,4463.7734,180
426,21149,4452.3833,180
427,21199,4440.9307,180
428,21249,4428.5757,180
429,21299,4416.658,180
430,21349,4404.4067,180
431,21399,4392.843,180
432,21449,4381.8022,180
433,21499,4370.2627,180
434,21549,4357.9844,180
435,21599,4346.3716,180
436,21649,4334.9907,180
437,21699,4323.3687,180
438,21749,4311.463,180
439,21799,4299.2646,180
440,21849,4287.28,180
441,21899,4276.3604,180
442,21949,4263.752,180
443,21999,4252.077,180
444,22049,4240.8115,180
445,22099,4229.7104,180
446,22149,4218.846,180
447,22199,4207.2,180
448,22249,4195.4224,180
449,22299,4183.376,180
450,22349,4171.8286,180
451,22399,4160.051,180
452,22449,4149.3794,180
453,22499,4137.681,180
454,22549,4126.8438,180
455,22599,4115.522,180
456,22649,4104.216,180
457,22699,4093.4143,180
458,22749,4082.8303,180
459,22799,4072.4338,180
460,22849,4061.0857,180
461,22899,4049.1516,180
462,22949,4037.13,180
463,22999,4026.226,180
464,23049,4015.4634,180
465,23099,4004.6172,180
466,23149,3993.5571,180
467,23199,3982.2354,180
468,23249,3972.6445,180
469,23299,3962.2354,180
470,23349,3950.49,180
471,23399,3940.2402,180
472,23449,3929.2393,180
473,23499,3918.2332,180
474,23549,3907.782,180
475,23599,3896.2034,180
476,23649,3885.6033,180
477,23699,3874.7644,180
478,23749,3863.9954,180
479,23799,3853.6099,180
480,23849,3843.3682,180
481,23899,3832.1843,180
482,23949,3821.4358,180
483,23999,3811.0186,180
484,24049,3800.9553,180
485,24099,3790.2727,180
486,24149,3779.0493,180
487,24199,3769.3003,180
488,24249,3758.9365,180
489,24299,3748.514,180
490,24349,3737.933,180
491,24399,3727.1755,180
492,24449,3717.2983,180
493,24499,3706.7815,180
494,24549,3696.1116,180
495,24599,3685.6086,180
496,24649,3675.0286,180
497,24699,3664.828,180
498,24749,3654.498,180
499,24799,3644.2249,180
500,24849,3633.6362,180
501,24899,3623.156,180
502,24949,3613.0742,180
503,24999,3603.524,180
504,25049,3593.296,180
505,25099,3582.8484,180
506,25149,3571.8486,180
507,25199,3562.2363,180
508,25249,3552.6973,180
509,25299,3542.9104,180
510,25349,3532.882,180
511,25399,3523.763,180
512,25449,3513.9912,180
513,25499,3505.347,180
514,25549,3495.6436,180
515,25599,3486.3445,180
516,25649,3477.264,180
517,25699,3466.7866,180
518,25749,3456.3342,180
519,25799,3445.7876,180
520,25849,3435.9224,180
521,25899,3427.3357,180
522,25949,3417.4985,180
523,25999,3407.0127,180
524,26049,3397.5134,180
525,26099,3387.733,180
526,26149,3378.087,180
527,26199,3368.1287,180
528,26249,3358.7769,180
529,26299,3349.7278,180
530,26349,3340.578,180
531,26399,3330.5596,180
532,26449,3321.203,180
533,26499,3312.257,180
534,26549,3301.8694,180
535,26599,3292.9448,180
536,26649,3283.9897,180
537,26699,3274.9639,180
538,26749,3265.0986,180
539,26799,3255.6855,180
540,26849,3246.786,180
541,26899,3237.072,180
542,26949,3227.4036,180
543,26999,3218.3555,180
544,27049,3209.748,180
545,27099,3201.3792,180
546,27149,3192.49,180
547,27199,3182.986,180
548,27249,3173.7412,180
549,27299,3165.1418,180
550,27349,3157.3115,180
551,27399,3148.627,180
552,27449,3139.3188,180
553,27499,3130.389,180
554,27549,3121.012,180
555,27599,3112.5254,180
556,27649,3103.9453,180
557,27699,3094.9666,180
558,27749,3086.0767,180
559,27799,3076.8665,180
560,27849,3068.8013,180
561,27899,3059.6187,180
562,27949,3050.54,180
563,27999,3041.8254,180
564,28049,3033.999,180
565,28099,3025.492,180
566,28149,3016.5278,180
567,28199,3008.089,180
568,28249,2999.881,180
569,28299,2991.3982,180
570,28349,2982.4348,180
571,28399,2974.087,180
572,28449,2965.657,180
573,28499,2957.2244,180
574,28549,2948.8118,180
575,28599,2940.4714,180
576,28649,2932.2266,180
577,28699,2923.7522,180
578,28749,2915.2659,180
579,28799,2907.1697,180
580,28849,2898.6038,180
581,28899,2890.5388,180
582,28949,2882.2341,180
583,28999,2874.0237,180
584,29049,2865.912,180
585,29099,2857.5466,180
586,29149,2849.448,180
587,29199,2841.1863,180
588,29249,2833.4058,180
589,29299,2824.6965,180
590,29349,2817.0042,180
591,29399,2808.534,180
592,29449,2800.3882,180
593,29499,2792.1199,180
594,29549,2784.1401,180
595,29599,2775.6863,180
596,29649,2767.3596,180
597,29699,2758.928,180
