,iteration,fitness,im_size
0,0,7914.353,32
1,1,7066.9243,32
2,4,6106.453,32
3,9,5967.5093,32
4,49,5521.3125,32
5,99,5109.613,32
6,149,4635.7046,32
7,199,4164.145,32
8,249,3759.161,32
9,299,3361.4023,32
10,349,3008.1804,32
11,399,2685.486,32
12,449,2394.6377,32
13,499,2139.044,32
14,549,1920.2985,32
15,599,1706.556,32
16,649,1553.0521,32
17,699,1395.2064,32
18,749,1264.183,32
19,799,1138.7721,32
20,849,1037.3721,32
21,899,943.9922,32
22,949,864.4476,32
23,999,797.555,32
24,1049,736.8704,32
25,1099,683.03094,32
26,1149,638.3636,32
27,1199,597.50977,32
28,1249,555.71906,32
29,1299,524.14844,32
30,1349,490.1849,32
31,1399,461.03354,32
32,1449,430.7809,32
33,1499,400.81186,32
34,1549,374.2145,32
35,1599,351.1517,32
36,1649,328.13672,32
37,1699,307.14682,32
38,1749,284.7461,32
39,1799,264.9769,32
40,1849,247.63574,32
41,1899,231.96516,32
42,1949,216.64616,32
43,1999,202.76628,32
44,2049,189.58952,32
45,2099,175.14323,32
46,2149,164.85579,32
47,2199,153.78972,32
48,2249,142.61882,32
49,2299,132.52376,32
50,2349,123.450195,32
51,2399,115.97363,32
52,2449,109.1722,32
53,2499,102.05762,32
54,2549,96.7347,32
55,2599,90.930664,32
56,2649,86.15397,32
57,2699,81.2526,32
58,2749,76.42936,32
59,2799,72.04655,32
60,2849,68.20573,32
61,2899,65.08268,32
62,2949,61.77962,32
63,2999,58.49056,32
64,3049,55.741535,32
65,3099,53.10677,32
66,3149,51.22461,32
67,3199,48.729492,32
68,3249,46.76465,32
69,3299,45.128906,32
70,3349,43.296223,32
71,3399,41.628906,32
72,3449,39.941406,32
73,3499,38.563152,32
74,3549,37.117188,32
75,3599,35.974934,32
76,3649,35.003906,32
77,3699,33.76595,32
78,3749,32.780598,32
79,3799,31.820312,32
80,3849,30.649414,32
81,3899,29.667318,32
82,3949,28.978516,32
83,3999,28.207031,32
84,4049,27.387045,32
85,4099,26.63737,32
86,4149,25.807291,32
87,4199,25.097982,32
88,4249,24.400717,32
89,4299,23.773111,32
90,4349,23.121744,32
91,4399,22.56543,32
92,4449,21.858072,32
93,4499,21.305664,32
94,4549,20.861654,32
95,4599,20.490234,32
96,4649,20.161459,32
97,4699,19.674805,32
98,4749,19.25358,32
99,4799,18.849936,32
100,4849,18.406576,32
101,4899,17.986328,32
102,4949,17.73763,32
103,4999,17.483725,32
104,5049,17.064453,32
105,5099,16.81836,32
106,5149,16.579428,32
107,5199,16.28483,32
108,5249,16.094076,32
109,5299,15.8515625,32
110,5349,15.614258,32
111,5399,15.199219,32
112,5449,14.987956,32
113,5499,14.676433,32
114,5549,14.379558,32
115,5599,14.152019,32
116,5649,13.913411,32
117,5699,13.715495,32
118,5749,13.5026045,32
119,5799,13.173828,32
120,5849,13.003581,32
121,5899,12.813151,32
122,5949,12.690755,32
123,5999,12.583659,32
124,6049,12.316081,32
125,6099,12.128581,32
126,6149,12.061849,32
127,6199,11.881836,32
128,6249,11.736328,32
129,6299,11.642903,32
130,6349,11.5234375,32
131,6399,11.34082,32
132,6449,11.243815,32
133,6499,11.104817,32
134,6549,10.945638,32
135,6599,10.895183,32
136,6649,10.766276,32
137,6699,10.657878,32
138,6749,10.388347,32
139,6799,10.232422,32
140,6849,10.157878,32
141,6899,9.95931,32
142,6949,9.904948,32
143,6999,9.850261,32
144,7049,9.744792,32
145,7099,9.637695,32
146,7149,9.583659,32
147,7199,9.454753,32
148,7249,9.419922,32
149,7299,9.246419,32
150,7349,9.09375,32
151,7399,9.055664,32
152,7449,8.99056,32
153,7499,8.968425,32
154,7549,8.916341,32
155,7599,8.781575,32
156,7649,8.75,32
157,7699,8.658528,32
158,7749,8.631836,32
159,7799,8.587565,32
160,7849,8.48405,32
161,7899,8.461914,32
162,7949,8.408203,32
163,7999,8.345052,32
164,8049,8.275391,32
165,8099,8.187175,32
166,8149,8.133464,32
167,8199,8.0130205,32
168,8249,7.953125,32
169,8299,7.892578,32
170,8349,7.863607,32
171,8399,7.836914,32
172,8449,7.7467446,32
173,8499,7.7027993,32
174,8549,7.64681,32
175,8599,7.608724,32
176,8649,7.5208335,32
177,8657,7.5208335,32
